,Target
1887,0.0
1888,-28.80000000000041
1889,0.0
1890,-28.80000000000041
1891,0.0
1892,-28.80000000000041
1893,0.0
1894,0.0
1895,-28.799999999998363
1896,0.0
1897,-28.80000000000041
1898,0.0
1899,0.0
1900,-28.80000000000041
1901,-28.80000000000041
1902,0.0
1903,0.0
1904,-28.80000000000041
1905,0.0
1906,-28.799999999998363
1907,0.0
1908,0.0
1909,-28.80000000000041
1910,-28.80000000000041
1911,0.0
1912,-28.80000000000041
1913,0.0
1914,-28.80000000000041
1915,0.0
1916,0.0
1917,-28.799999999998363
1918,0.0
1919,-57.60000000000082
1920,0.0
1921,0.0
1922,0.0
1923,-28.80000000000041
1924,0.0
1925,-28.80000000000041
1926,-28.799999999998363
1927,-28.80000000000041
1928,0.0
1929,0.0
1930,0.0
1931,-28.80000000000041
1932,0.0
1933,-28.80000000000041
1934,0.0
1935,-28.80000000000041
1936,0.0
1937,-28.799999999998363
1938,0.0
1939,0.0
1940,0.0
1941,-28.80000000000041
1942,0.0
1943,-28.80000000000041
1944,0.0
1945,0.0
1946,-28.80000000000041
1947,-28.80000000000041
1948,0.0
1949,0.0
1950,-28.799999999998363
1951,0.0
1952,-28.80000000000041
1953,0.0
1954,0.0
1955,-28.80000000000041
1956,-28.80000000000041
1957,0.0
1958,-28.80000000000041
1959,0.0
1960,-28.799999999998363
1961,0.0
1962,-28.80000000000041
1963,0.0
1964,-28.80000000000041
1965,0.0
1966,-28.80000000000041
1967,0.0
1968,-28.80000000000041
1969,0.0
1970,0.0
1971,0.0
1972,-28.799999999998363
1973,0.0
1974,-28.80000000000041
1975,0.0
1976,-28.80000000000041
1977,0.0
1978,-28.80000000000041
1979,0.0
1980,0.0
1981,-28.80000000000041
1982,-28.799999999998363
1983,0.0
1984,-28.80000000000041
1985,-28.80000000000041
1986,-28.80000000000041
1987,-28.80000000000041
1988,-28.80000000000041
1989,-28.80000000000041
1990,-28.799999999998363
1991,-28.799999999998363
1992,-28.799999999998363
1993,-28.80000000000041
1994,-28.80000000000041
1995,0.0
1996,0.0
1997,-28.80000000000041
1998,-28.80000000000041
1999,-28.799999999998363
2000,0.0
2001,0.0
2002,0.0
2003,-28.80000000000041
2004,0.0
2005,-28.80000000000041
2006,0.0
2007,0.0
2008,-28.80000000000041
2009,0.0
2010,-28.80000000000041
2011,-28.799999999998363
