FCCFFI232.PV,FCCFPC175.MV,FCCFPC175.PV,FCCGAI008.PV,FCCGDI501AM.PV,FCCGDI501M.PV,FCCGDI502M.PV,FCCGFC014.PV,FCCGFC028.MV,FCCGFC028.PV,FCCGFC030.PV,FCCGFI004.PV,FCCGLC040.PV,FCCGLC501.MV,FCCGLC501.PV,FCCGLI015.PV,FCCGPC039.PV,FCCGPDI510.PV,FCCGPI022.PV,FCCGPI023.PV,FCCGPI025.PV,FCCGPI501.PV,FCCGPI505.PV,FCCGPI508.PV,FCCGPI509.PV,FCCGPI511.PV,FCCGPI512.PV,FCCGTI012.PV,FCCGTI037.PV,FCCGTI501M.PV,FCCGTI502M.PV,FCCGTI503M.PV,FCCGTI505AM.PV,FCCGTI506M.PV,FCCGTI507M.PV,FCCGTI508M.PV,FCCGTI509M.PV,FCCGTI510M.PV,FCCGTI511M.PV,FCCGTI514M.PV,FCCGTI518M.PV,FCCGTI521M.PV,FCCGTI522M.PV,FCCGTI528.PV,FCCGTI529M.PV,FCCGYI501M.PV,FCCGYI502.PV,FCCGYI503.PV,FCCGYI504.PV,FCCGYI505.PV,FCCGYI507M.PV,FCCGYI508.PV
2600.934,81.3,1.55,0.6,0.13136,0.142809,0.0715189,648.31,100,394.1,175.368,152,39.1262,21.3,59.9,-1,5.44,6698.8,6,5.4,13.1,10.6,16.7,-0.835985,-0.1,3.2,2.6,59.7,45.9,46.2098,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,313.5,60.0428,28.0428,35.41,32.7,40.4,24.4,14.2479,14.4032
2606.997,81.4,1.55,0.6,0.131119,0.142692,0.0714989,649.89,100,395.2,174.915,150.4,40.8994,19.3,60.1,-1,5.442,6679.4,6,5.4,13.1,10.6,16.8,-0.837284,-0.1,3.2,2.6,59.5,45.9,46.6429,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,313.7,59.9999,28.1115,35.4,32.7,40.3,24.3,14.135,14.2782
2603.622,81.4,1.55,0.6,0.131142,0.142598,0.071346,651.59,100,395.7,174.716,152.5,39.12,21.2,60,-1,5.443,6691.4,6,5.4,13.1,10.6,16.8,-0.836469,-0.1,3.2,2.6,59.6,45.9,45.9819,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,313.8,60.0093,28.0424,35.52,32.8,40.4,24.4,14.1664,14.3157
2605.616,81.2,1.55,0.6,0.131399,0.142867,0.0713448,649.96,100,394.6,175.292,152.6,40.8649,19.6,59.9,-1,5.439,6677.7,6,5.4,13.1,10.6,16.8,-0.836026,-0.1,3.2,2.6,59.7,45.9,45.9819,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,314,59.9945,28.0052,35.47,32.8,40.4,24.4,14.1988,14.3534
2602.557,81.1,1.55,0.6,0.131592,0.142975,0.0713115,647.8,100,393,174.739,150.9,39.1428,20.8,60.2,-1,5.438,6700.1,6,5.4,13.1,10.6,16.8,-0.836231,-0.1,3.2,2.6,59.7,45.8,45.9819,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,314.3,59.9945,27.9614,35.44,32.8,40.4,24.4,14.199,14.3671
2605.351,81.1,1.55,0.6,0.131755,0.143095,0.0711489,649.41,100,394.1,175.547,150.5,40.9371,20.1,59.8,-1,5.438,6685.6,6,5.4,13.1,10.6,16.8,-0.835529,-0.1,3.2,2.6,59.7,45.8,45.9819,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,315,60.5935,27.9954,35.39,32.8,40.4,24.5,14.2262,14.4013
2607.835,81.2,1.55,0.6,0.13202,0.143354,0.0712346,649.45,100,394.3,175.874,150.9,39.102,20.2,60.3,-1,5.438,6695.8,6,5.4,13.1,10.6,16.8,-0.835055,-0.1,3.2,2.6,59.7,45.8,45.9819,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,315.4,60.9397,27.9939,35.46,32.8,40.4,24.6,14.3059,14.4679
2607.084,81.1,1.55,0.6,0.132212,0.143531,0.0711654,646.22,100,392.7,175.554,149.9,40.8275,20.9,59.7,-1,5.436,6685.3,6,5.4,13.1,10.7,16.8,-0.836083,-0.1,3.2,2.5,59.6,45.6,45.9819,67.9742,50.9789,49.9814,60.6784,75.9708,60.9752,61.3271,71.9713,69.9739,52.9786,102.992,102.992,43.9964,315.5,60.002,27.9712,35.35,32.8,40.4,24.5,14.2055,14.342
2604.649,81,1.55,0.6,0.132275,0.143605,0.071064,647.37,100,392.7,174.931,151.3,39.1998,19.6,60.3,-1.1,5.437,6697.4,6,5.4,13.1,10.7,16.8,-0.835343,-0.1,3.2,2.5,59.6,45.5,45.9819,67.9742,50.5314,49.9814,59.9776,75.9708,60.9752,60.9752,71.9713,69.9739,52.9786,102.992,102.992,43.5512,315.2,60.4895,27.9813,35.43,32.8,40.4,24.6,14.2089,14.3088
2604.435,80.9,1.55,0.6,0.132303,0.143553,0.0710772,647.53,100,392.9,174.777,151.1,40.7994,21.3,59.8,-1,5.436,6698.2,6,5.4,13.1,10.7,16.8,-0.833899,-0.1,3.2,2.5,59.7,45.5,45.9819,67.9742,49.9814,49.9814,59.9776,75.9708,60.9752,60.9752,71.9713,69.9739,52.9786,102.991,102.936,43.0544,315,60.9939,27.9497,35.41,32.8,40.5,24.6,14.1856,14.2941
